accuracy,precision,recall,f1,roc_auc,bootstrap
0.8151428571428572,0.8256536796536795,0.8775,0.8421753516521318,0.9020535714285713,154
0.811047619047619,0.8319256854256853,0.855,0.8335199783017121,0.9236607142857142,155
0.8340952380952382,0.8547546897546897,0.875,0.8559513981031008,0.9386011904761905,156
0.7902857142857143,0.7902251082251083,0.8775,0.822857683424247,0.9044642857142858,157
0.8016190476190475,0.822590909090909,0.845,0.8229120904894899,0.9114880952380954,158
0.8590476190476192,0.8790851370851369,0.885,0.8726815991026516,0.9448214285714287,159
0.7824761904761905,0.8143073593073592,0.8225,0.8073876395362463,0.8901488095238096,160
0.7721904761904761,0.8077716172716174,0.8175,0.8020224184140592,0.8841071428571429,161
0.7858095238095238,0.7978820068820067,0.8475,0.815607030396504,0.889732142857143,162
0.8593333333333333,0.8899422799422798,0.87,0.871901647028582,0.9341964285714286,163
0.798095238095238,0.8329610389610389,0.825,0.8186872308977571,0.8951190476190476,164
0.8015238095238095,0.8494098124098123,0.81,0.8207254221526668,0.9205952380952381,165
0.842952380952381,0.8588261183261183,0.88,0.862078849083493,0.9415773809523812,166
0.7962857142857144,0.810966810966811,0.8425,0.8183249980154004,0.9161309523809524,167
0.8390476190476189,0.8717886002886002,0.8525,0.8539373830503859,0.9329166666666666,168
0.7134285714285714,0.7441125541125541,0.76,0.7421438362119476,0.8260416666666666,169
0.7972380952380952,0.8376381396381396,0.8175,0.8188188646578739,0.9099702380952381,170
0.7651428571428572,0.8060873015873016,0.7925,0.7902325818316528,0.8812500000000001,171
0.823047619047619,0.8304094239094237,0.885,0.8497882961551692,0.9467857142857141,172
0.8367619047619046,0.8316385281385281,0.9,0.8601814094058676,0.9286309523809523,173
0.803047619047619,0.8169725829725829,0.855,0.82763697327784,0.8971130952380953,174
0.7992380952380952,0.8160909090909092,0.8475,0.8226505970809377,0.9077083333333333,175
0.7658095238095237,0.7909819624819625,0.8075,0.7903442410702471,0.899672619047619,176
0.8056190476190476,0.8326269841269841,0.8425,0.828985724114207,0.9111904761904762,177
0.8099999999999998,0.8276976911976912,0.8525,0.8322114505721315,0.9110119047619046,178
0.8392380952380952,0.8647200577200578,0.87,0.8579307355870823,0.9378869047619048,179
0.8325714285714285,0.8444379509379509,0.875,0.8531494932655923,0.9238392857142856,180
0.761047619047619,0.7850367965367967,0.82,0.7931553034169133,0.8849107142857143,181
0.8391428571428573,0.88957215007215,0.8325,0.8508757319391994,0.9402380952380952,182
0.8661904761904762,0.8781017316017315,0.9025,0.8845045211066883,0.9501488095238095,183
0.8017142857142856,0.8520432900432899,0.805,0.815329689230618,0.9154166666666668,184
0.8312380952380952,0.8424224109224109,0.8825,0.8547648325187024,0.9355654761904763,185
0.7793333333333333,0.8068809523809525,0.8325,0.8106735976441858,0.9038392857142857,186
0.7699047619047619,0.8059062049062048,0.8025,0.7916614355716522,0.8908630952380954,187
0.8184761904761905,0.8312359307359307,0.865,0.8378126934984519,0.9103571428571428,188
0.7175238095238095,0.727511877011877,0.8225,0.7650166079190847,0.8516369047619048,189
0.7708571428571428,0.789988455988456,0.8325,0.8035003194260161,0.8898809523809524,190
0.8021904761904761,0.8366803751803751,0.8275,0.8209660368870896,0.9261011904761905,191
0.851142857142857,0.8534379509379508,0.91,0.8730869349089161,0.9424404761904763,192
0.7891428571428573,0.8052066822066821,0.85,0.816989045698024,0.9285416666666666,193
0.7982857142857143,0.8063477633477634,0.8625,0.8262160416123264,0.9071130952380954,194
0.7936190476190477,0.8193095238095238,0.83,0.8175690943043884,0.8963095238095238,195
0.81,0.8488499278499277,0.8225,0.8263415439050114,0.9174404761904762,196
0.7761904761904762,0.8285147630147631,0.78,0.7933173034395945,0.8943749999999998,197
0.793142857142857,0.8131760461760461,0.835,0.8148662699529572,0.903779761904762,198
0.8429523809523809,0.8622961482961483,0.88,0.8630836442539227,0.9325297619047619,199
0.8309523809523808,0.8397330447330447,0.8875,0.8542831853389129,0.9325297619047618,200
0.8379047619047619,0.8440836940836941,0.8925,0.8609381296378201,0.9157142857142857,201
0.9073333333333333,0.918511544011544,0.925,0.9181543319082018,0.9675595238095238,202
0.8152380952380953,0.8661269841269842,0.805,0.8264157868275513,0.9274702380952381,203
0.8662857142857143,0.8864433344433345,0.895,0.8826449986202307,0.9634226190476189,204
0.7747619047619047,0.7888484848484849,0.84,0.8055096073517124,0.8884821428571428,205
0.7747619047619047,0.8057857142857142,0.82,0.8043142452662576,0.9103869047619046,206
0.7719999999999999,0.8138578643578644,0.805,0.7980270453660545,0.8952083333333334,207
0.7699047619047619,0.8048556998556997,0.805,0.7946312349501202,0.9023214285714285,208
0.7619047619047618,0.775443722943723,0.8375,0.7957488687782803,0.8716369047619048,209
0.8223809523809524,0.8393629148629148,0.87,0.846766608864132,0.9147619047619048,210
0.8311428571428572,0.8386580086580087,0.8875,0.8547521745540321,0.9266964285714286,211
0.7983809523809525,0.788511877011877,0.895,0.8343208265762443,0.9144345238095238,212
0.8376190476190476,0.8571345321345321,0.8725,0.8569788763008578,0.929702380952381,213
0.7839047619047619,0.8152936507936508,0.8225,0.808104089409043,0.8991666666666666,214
0.888,0.9200295815295815,0.895,0.9005829297981001,0.9661607142857143,215
0.8752380952380951,0.8959819624819625,0.8925,0.8874773491042841,0.9577083333333333,216
0.7868571428571427,0.7734555999556,0.8975,0.8254939063344635,0.8826190476190476,217
0.8186666666666668,0.8411190476190474,0.85,0.838522337139984,0.937886904761905,218
0.8398095238095238,0.8410194805194806,0.8975,0.8621039117401346,0.930654761904762,219
0.8078095238095239,0.8348881673881674,0.84,0.8304366175620045,0.9066964285714286,220
0.8443809523809523,0.8487099567099565,0.895,0.8656626634459451,0.9263988095238096,221
0.7961904761904762,0.8091399711399712,0.8675,0.8286014432763659,0.9002083333333333,222
0.8199047619047619,0.828950937950938,0.8725,0.8419704963079576,0.9275,223
0.8569523809523811,0.8727099567099565,0.89,0.8765376185561944,0.9285119047619047,224
0.8115238095238096,0.8221183261183262,0.865,0.8367181301670467,0.9079166666666666,225
0.8071428571428573,0.8302626262626264,0.8475,0.8291039775497981,0.9174404761904761,226
0.8577142857142859,0.8865613275613274,0.8725,0.8709764872210692,0.9583630952380952,227
0.799047619047619,0.8499538239538238,0.81,0.8157004357871229,0.9105952380952381,228
0.7779047619047619,0.797125541125541,0.8275,0.8051706490963455,0.8817857142857143,229
0.785904761904762,0.8144891774891774,0.825,0.8112329995425971,0.9025,230
