Feature_Name,Frequency,Mean_Importance,max_features
Edge68,47,0.03466711812289426,26
Edge80,41,0.04827063144385017,26
Edge70,41,0.017951602670890222,26
Edge74,39,0.05307709053326622,26
Edge201,39,0.04147180184008803,26
Edge76,38,0.03482201264807542,26
Edge21,38,0.025457992568465346,26
Edge171,38,0.02309806746625157,26
Edge116,36,0.05357402986069837,26
Edge266,33,0.025732041489885806,26
Edge260,32,0.04645216145173917,26
Edge39,32,0.03335390495230595,26
Edge4,30,0.05985643790710054,26
Edge152,28,0.022301461580300583,26
Edge101,26,0.02138577317819472,26
Edge323,50,0.046963981605869586,27
Edge204,47,0.05453413601556994,27
Edge232,47,0.04214676517594251,27
Edge68,47,0.03482926222865563,27
Edge80,41,0.049725946378780805,27
Edge70,41,0.019453312283194597,27
Edge74,39,0.05259523807349211,27
Edge201,39,0.04040532922586575,27
Edge76,38,0.034037747015454395,27
Edge21,38,0.025549823694060978,27
Edge171,38,0.02332639551495651,27
Edge116,36,0.0536236264797173,27
Edge266,33,0.025864542444591958,27
Edge260,32,0.04650665169786076,27
Edge39,32,0.03335433876985603,27
Edge4,30,0.0616860556572335,27
Edge152,28,0.020634075739633002,27
Edge101,26,0.02210908151071038,27
Edge323,50,0.046024066612369276,28
Edge204,47,0.05462400837840086,28
Edge232,47,0.042910274548764504,28
Edge68,47,0.03397611812793671,28
Edge80,41,0.04896300924543172,28
Edge70,41,0.017624960719878176,28
Edge74,39,0.054402044495686516,28
Edge201,39,0.0417977487961879,28
Edge76,38,0.03604020391174968,28
Edge171,38,0.025085191792198064,28
Edge21,38,0.02419526992959019,28
Edge116,36,0.05392206034820729,28
Edge266,33,0.025829354120959477,28
Edge260,32,0.04676498054634951,28
Edge39,32,0.03356812014412518,28
Edge4,30,0.062194972461146726,28
Edge152,28,0.019914655028432787,28
Edge101,26,0.020882863887355444,28
Edge323,50,0.048284137347589524,29
Edge204,47,0.05456536679810685,29
Edge232,47,0.043455621039957114,29
Edge68,47,0.034600360548048346,29
Edge80,41,0.04835872590449706,29
Edge70,41,0.018714561257662077,29
Edge74,39,0.05400958688325709,29
Edge201,39,0.04135447502680195,29
Edge76,38,0.035442311591745754,29
Edge171,38,0.02447771325630771,29
Edge21,38,0.023705593177862524,29
Edge116,36,0.05312924597858828,29
Edge266,33,0.02608620318342603,29
Edge260,32,0.04668176607484174,29
Edge39,32,0.033135705895447586,29
Edge4,30,0.06287283627780234,29
Edge152,28,0.021135794225303168,29
Edge101,26,0.02191137060282985,29
