,K_10,K_15,K_20,K_25,K_30,K_35,K_40,K_45,K_50,K_55,K_60,K_65,K_70,K_75,K_80,K_85,K_90,K_95,K_100
Fold_37,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.6428571428571429
Fold_38,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.7142857142857143
Fold_39,0.7857142857142857,0.8571428571428571,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.5,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.42857142857142855,0.5,0.5,0.5714285714285714,0.5,0.42857142857142855,0.5
Fold_40,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5
Fold_41,0.6,0.6,0.6,0.6,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6,0.6666666666666666,0.6,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666
Fold_42,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
Fold_43,0.5,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.6428571428571429
Fold_44,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5,0.6428571428571429,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5714285714285714,0.35714285714285715,0.5714285714285714
Fold_45,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.5,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5,0.7142857142857143,0.5714285714285714,0.5,0.5,0.7142857142857143,0.6428571428571429,0.5
Fold_46,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.8,0.6,0.6666666666666666,0.8,0.7333333333333333,0.6666666666666666,0.6,0.7333333333333333,0.6666666666666666,0.6,0.6666666666666666,0.6,0.7333333333333333,0.6,0.7333333333333333,0.6
Fold_47,0.5,0.42857142857142855,0.5,0.5,0.5,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855
Fold_48,0.5,0.5,0.5,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5
Fold_49,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.7142857142857143
Fold_50,0.5,0.6428571428571429,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429
